"fecha","tiempo","pib","prod","paro","salario","ebe","smi","impuestos_sub"
"2008T1",2008,4.5354,0.2818,9.6,2342.28,-0.5511,600,-5.1543
"2008T2",2008.25,4.5223,0.905,10.36,2451.4,2.1072,600,-9.4749
"2008T3",2008.5,3.4283,1.1675,11.23,2350.17,-1.2942,600,-3.521
"2008T4",2008.75,0.3845,1.3094,13.79,2583.82,0.2432,600,-0.7147
"2009T1",2009,-3.6042,1.8449,17.24,2440.54,-3.1353,624,-5.1682
"2009T2",2009.25,-4.5627,2.4262,17.77,2548.69,3.7798,624,-24.9873
"2009T3",2009.5,-3.4499,3.0127,17.75,2428.91,-0.9686,624,5.8486
"2009T4",2009.75,-2.8758,3.5814,18.66,2649.13,-2.5013,624,17.4113
"2010T1",2010,-0.2753,4.3117,19.84,2466.11,-1.7658,633.3,19.3942
"2010T2",2010.25,0.5109,3.5349,19.89,2578.11,-0.9407,633.3,1.7139
"2010T3",2010.5,0.4437,2.4085,19.59,2421.49,1.293,633.3,0.2235
"2010T4",2010.75,0.5571,1.9564,20.11,2642.17,1.605,633.3,0.281
"2011T1",2011,0.4352,2.2195,21.08,2486.6,0.1604,641.4,-2.9485
"2011T2",2011.25,-0.3485,1.6338,20.64,2599.79,0.417,641.4,-0.1558
"2011T3",2011.5,-0.8456,2.1726,21.28,2456.91,-0.1253,641.4,-1.7669
"2011T4",2011.75,-2.4649,2.0377,22.56,2683.86,-1.2925,641.4,-1.4156
"2012T1",2012,-2.476,2.024,24.19,2515.04,0.1116,641.4,4.7912
"2012T2",2012.25,-3.6531,1.9127,24.4,2591.8,-0.5719,641.4,0.2487
"2012T3",2012.5,-2.3712,2.2353,24.79,2455.49,-0.1425,641.4,5.5172
"2012T4",2012.75,-3.7155,2.3161,25.77,2598.69,0.0914,641.4,0.6969
"2013T1",2013,-2.1347,2.2049,26.94,2480.22,-1.1858,645.3,5.0652
"2013T2",2013.25,-1.225,2.5178,26.06,2583.24,0.5103,645.3,1.3295
"2013T3",2013.5,-0.8123,1.7861,25.65,2460.64,0.2293,645.3,-2.2652
"2013T4",2013.75,0.0886,1.4879,25.73,2652.44,0.558,645.3,-3.6683
"2014T1",2014,0.5597,0.986,25.93,2474.4,-0.7938,645.3,10.3143
"2014T2",2014.25,0.5923,0.1912,24.47,2580.64,0.3186,645.3,-3.0757
"2014T3",2014.5,1.437,0.2707,23.67,2450.1,-0.2731,645.3,3.7358
"2014T4",2014.75,2.0528,0.2127,23.7,2638.8,1.6512,645.3,-1.0999
"2015T1",2015,3.6438,0.4491,23.78,2487.44,1.8017,648.6,5.0624
"2015T2",2015.25,4.3746,0.6219,22.37,2591.5,0.389,648.6,2.6941
"2015T3",2015.5,4.5541,0.6977,21.18,2456.46,1.3081,648.6,1.0522
"2015T4",2015.75,4.9959,0.8354,20.9,2671.39,0.3043,648.6,2.0188
"2016T1",2016,3.3541,0.4654,21,2481.51,2.8464,655.2,-3.5827
"2016T2",2016.25,3.5532,0.3813,20,2589.08,0.0105,655.2,2.8553
"2016T3",2016.5,3.5411,0.1501,18.91,2444.8,1.6005,655.2,1.0607
"2016T4",2016.75,3.0446,-0.0106,18.63,2649.97,-0.1182,655.2,2.4213
"2017T1",2017,4.0378,-0.0294,18.75,2481.75,1.5906,707.7,0.5344
"2017T2",2017.25,4.3915,0.2631,17.22,2584.58,1.8792,707.7,0.3196
"2017T3",2017.5,4.2212,-0.0055,16.38,2454.27,0.1013,707.7,0.7411
"2017T4",2017.75,4.5784,0.0572,16.55,2668.84,2.0396,707.7,1.3315
"2018T1",2018,3.6071,0.3856,16.74,2497.91,-0.335,735.9,1.6589
"2018T2",2018.25,3.6264,0.0658,15.28,2602.01,0.6926,735.9,2.3201
"2018T3",2018.5,3.286,-0.1155,14.55,2499.87,0.1205,735.9,0.1863
"2018T4",2018.75,3.7063,-0.0189,14.45,2692.52,1.1341,735.9,0.7912
"2019T1",2019,4.3811,-1.1787,14.7,2550.27,0.4413,900,0.1188
"2019T2",2019.25,3.5444,-1.4061,14.02,2664.55,-1.1555,900,-0.959
"2019T3",2019.5,3.0313,-0.9035,13.92,2553.62,-0.7922,900,1.2427
"2019T4",2019.75,2.9445,-1.6587,13.78,2755.15,2.792,900,-1.3084
"2020T1",2020,-3.5864,-4.8451,14.41,2570.32,-8.3959,950,-6.6162
"2020T2",2020.25,-20.8828,-5.2312,15.33,2442.91,-18.2925,950,-42.6413
"2020T3",2020.5,-8.1097,-4.7339,16.26,2525.41,15.651,950,56.562
"2020T4",2020.75,-7.7076,-5.3222,16.13,2752.26,0.0396,950,9.5306
"2021T1",2021,-2.2967,-1.955,16.14,2605.61,4.0345,950,0.0997
"2021T2",2021.25,21.3945,0.7812,15.39,2766.39,0.3809,950,4.8167
"2021T3",2021.5,8.0531,-1.7597,14.71,2648.87,-0.4869,965,7.8969
"2021T4",2021.75,11.2912,0.4332,13.44,2874.61,8.5644,965,4.341
"2022T1",2022,11.6724,1.4844,13.73,2729.01,3.2075,1000,2.985
